180516/0536/737;Право заключения договора на поставку товара по лоту №12375/860 Куд3,4/П-18 «Поставка затворов до DN400 для сооружения энергоблоков № 3,4 АЭС Куданкулам»;"Акционерное общество Инжиниринговая компания ""АСЭ""";21 158 816,00;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160536737
180516/0536/736;Право заключения договора на поставку товара по лоту №12375/602 БЛР2-18 «Поставка оборудования обнаружения (извещатели, детекторы, газоанализатор) зданий 21UQC,22UQC, основных и вспомогательных зданий и сооружений системы физической защиты АЭС для сооружения энергоблока №2 Белорусской АЭС».;"Акционерное общество Инжиниринговая компания ""АСЭ""";11 031 951,48;19.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160536736
180516/0536/735;Право заключения договора на поставку товара по лоту №12375/830 БЛР2-18 «Поставка калибраторов для здания 20UCB энергоблока №2 Белорусской АЭС»;"Акционерное общество Инжиниринговая компания ""АСЭ""";1 617 402,40;19.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160536735
180516/1590/056;Право заключения договора на Поставка страховочных средств при работе на высоте;"Общество с ограниченной ответственностью ""Смоленская АЭС-Сервис""";765 289,02;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805161590056
180428/0458/083;Поставка больших сервисных комплектов для форвакуумного насоса;"Акционерное общество ""Государственный научный центр Российской Федерации - Физико-энергетический институт имени А.И. Лейпунского""";466 395,00;14.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1804280458083
180516/2442/498;Право заключения договора на поставка лабораторного оборудования;"Акционерное общество ""Промышленные инновации"".";12 195 445,69;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805162442498
180516/0467/478;Право заключения договора на Поставка полиэтиленовой продукции согласно ТЗ;"Федеральное государственное унитарное предприятие ""Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики""";167 477,30;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160467478
180516/1662/087;Право заключения договора на Поставка рыбы и морепродуктов глубокой заморозки;"Общество с ограниченной ответственностью ""Белоярская АЭС - Авто""";980 805,98;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805161662087
180516/6320/080;Поставка продукции: системный блок, сетевой фильтр, кабель;"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Инжект""";967 805,16;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805166320080
180516/38236/089;Право заключения договора на Поставка корпусной мебели для корпоративной гостиничной сети;"Автономная некоммерческая организация дополнительного профессионального образования ""Техническая академия Росатома""";1 410 538,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/18051638236089
180516/3243/082;Поставка дизельного топлива ЕВРО,летнее ,сорта С , экологического класса К5 (ДТ-ЛК5);"Акционерное общество ""Трансэнерго""";3 114 000,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805163243082
180516/1051/143;Поставка феррохрома ФХ100А для производства отливок из чугуна ИЧХ ГОСТ 546-2001;"Общество с ограниченной ответственностью ""Литейный завод ""Петрозаводскмаш""";847 709,64;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805161051143
180516/0655/059;Право заключения договора на поставка труб для изготовления трубопроводов здания турбинного отделения (20UMA) энергоблока №2 Белорусской АЭС в соответствии с заказной спецификацией №Т.2-2018;"Общество с ограниченной ответственностью ""Волгодонское Монтажное Управление""";24 121 898,56;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160655059
180426/0536/718;Поставка автомобильных шин;"Акционерное общество Инжиниринговая компания ""АСЭ""";499 926,00;04.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1804260536718
180514/4465/225;"Право заключения договора на трубы. Поставка фасонных частей и деталей трубопровода  (для нужд Филиала АО ""ОТЭК"" в г. Новоуральске)";"Открытое акционерное общество ""Объединённая теплоэнергетическая компания""";94 038,92;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805144465225
180514/0669/045;"Право заключения договора на Поставка запасных частей для автомобилей марки Hyundai  для АО ""АТА"" г. Москва";"Акционерное общество ""Альянстрансатом""";1 000 000,00;изменена;Опубликована;http://www.zakupki.rosatom.ru/1805140669045
180514/0594/118;Поставка анодов;"Акционерное общество ""Инжиниринговая компания ""АЭМ-технологии""";428 340,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140594118
180208/0536/717;"Изготовление и поставка элементов оформления входных групп корпоративной символикой, продукция с корпоративной символикой АО ИК ""АСЭ"".";"Акционерное общество Инжиниринговая компания ""АСЭ""";299 950,00;12.02.2018;Опубликована;http://www.zakupki.rosatom.ru/1802080536717
180514/0514/111;Право заключения договора на 907-U020-17/964 Поставка комплектов АРМ-1-СДИ-0,06-н.п.-кл-1кам-пк (или аналога), АРМ-5-СДИ-0,06-н.п.-кл-1кам-п (или аналог;"Акционерное общество ""Высокотехнологический научно-исследовательский институт неорганических материалов имени академика А.А. Бочвара""";683 321,20;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140514111
180514/0524/108;"Право заключения договора на изготовление и поставка резервного оборудования для ЗИП АЭС  ""Бушер-1""";"Акционерное общество ""Специализированный научно-исследовательский институт приборостроения""";3 049 041,94;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140524108
180514/0539/202;Теплоснабжение и поставка горячей воды (г. Лесной).;"Акционерное общество ""Атомспецтранс""";2 118 406,62;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140539202
180514/0477/338;Поставка металлодетекторов;"Федеральное государственное унитарное предприятие ""Комбинат ""Электрохимприбор""";320 000,00;11.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140477338
180514/6320/077;"Изготовление и поставка продукции: 
Пластина контактная (заготовка) 41131.108";"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Инжект""";115 864,20;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805146320077
180514/0604/153;"Право заключения договора на Изготовление  и поставка выпарного оборудования для энергоблоков № 3 и № 4 АЭС Куданкулам для нужд АО ""СвердНИИхиммаш""";"Акционерное общество ""Свердловский научно-исследовательский институт химического машиностроения""";86 285 942,40;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140604153
180514/6320/076;Поставка продукции: спирт этиловый ректификованный высшей очистки из пищевого сырья ГОСТ 5962-2013;"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Инжект""";236 110,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805146320076
180514/0459/128;Право заключения договора на поставка смеси порошковых материалов;"Акционерное общество ""НИИЭФА им. Д.В. Ефремова""";1 351 000,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140459128
180514/0697/098;907-U470-18/120 Поставка провода МГ240 и миниконтактора АВВ;"Общество с ограниченной ответственностью ""Энергоремонт""";116 492,88;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140697098
180510/6320/075;Поставка продукции: Дизельное топливо;"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Инжект""";899 990,78;16.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805106320075
180515/0480/274;Поставка Phoenix Contact;"Федеральное государственное унитарное предприятие ""Уральский электромеханический завод""";711 844,31;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150480274
180514/0642/206;Право заключения договора на Поставка трансформаторов тока;"Филиал АО ""Концерн Росэнергоатом"" ""Кольская атомная станция""";485 958,00;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140642206
180503/0638/131;"Поставка канцелярских товаров для нужд филиала АО ""Гринатом"" в г. Нижнем Новгороде";"Акционерное Общество ""Гринатом""";481 539,71;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805030638131
180514/0524/107;поставка блока формирования БФА-09Р;"Акционерное общество ""Специализированный научно-исследовательский институт приборостроения""";348 100,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140524107
180515/0539/210;Право заключения договора на Поставку смывающих, обезвреживающих средств и средств дезинфекции.;"Акционерное общество ""Атомспецтранс""";566 053,45;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150539210
180514/0615/413;Право заключения договора на Поставка сценического оборудования;"Филиал АО ""Концерн Росэнергоатом"" ""Калининская атомная станция""";4 204 444,66;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140615413
180515/0480/272;Поставка комплектующих Phoenix Contact;"Федеральное государственное унитарное предприятие ""Уральский электромеханический завод""";975 807,49;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150480272
180514/0664/103;Право заключения договора на Поставка манометров на Билибинскую АЭС;"Филиал АО ""Концерн Росэнергоатом"" ""Билибинская атомная станция""";230 423,66;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140664103
180515/0479/426;поставка стали 02Н18К9М5Т;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";3 849 750,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479426
180514/0500/074;Право заключения договора на Поставка средств индивидуальной защиты;"Акционерное общество ""Институт реакторных материалов""";548 160,66;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140500074
180515/0500/077;Право заключения договора на Поставка специальной обуви;"Акционерное общество ""Институт реакторных материалов""";746 916,81;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150500077
180514/0670/164;Право заключения договора на Поставка технических газов согласно спецификации;"Филиал ОАО ""Концерн Росэнергоатом"" ""Белоярская атомная станция""";2 660 029,87;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140670164
180515/0606/065;"Поставка продуктов питания для АО ""АТМ""";"Акционерное общество ""Атомтрубопроводмонтаж""";343 276,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150606065
180514/0527/075;"Право заключения договора на Поставка измерителя длины свай ""ИДС-1"" или аналог";"Акционерное общество ""Государственный специализированный проектный институт""";215 370,67;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140527075
180515/4465/229;"Право заключения договора на КИПиА. Поставка манометров (для нужд Филиала АО ""ОТЭК"" в г. Новоуральске)";"Открытое акционерное общество ""Объединённая теплоэнергетическая компания""";165 100,19;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805154465229
180514/0664/102;Право заключения договора на Поставка тканевых изделий;"Филиал АО ""Концерн Росэнергоатом"" ""Билибинская атомная станция""";1 093 539,51;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140664102
180515/0697/099;907-U470-18/105 Поставка электротехнической продукции;"Общество с ограниченной ответственностью ""Энергоремонт""";193 869,30;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150697099
180514/0477/334;Поставка пожарных извещателей;"Федеральное государственное унитарное предприятие ""Комбинат ""Электрохимприбор""";993 740,18;14.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140477334
180515/0479/424;поставка мебели для базы отдыха;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";543 200,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479424
180514/0500/072;Право заключения договора на Поставка бумаги для офисной техники;"Акционерное общество ""Институт реакторных материалов""";524 975,34;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140500072
180515/0479/423;Поставка штампованных заготовок;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";460 200,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479423
180515/0524/109;"поставка модуля отбора и разбавления проб системы аварийного и поставарийного пробоотбора теплоносителя реактора ВВЭР-1000 для филиала АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""";"Акционерное общество ""Специализированный научно-исследовательский институт приборостроения""";47 050 000,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150524109
180514/0524/105;Право заключения договора на изготовление и поставка запасных частей и комплектующих для термопреобразователей сопротивления АЭС «Бушер-1»;"Акционерное общество ""Специализированный научно-исследовательский институт приборостроения""";49 860 160,56;14.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140524105
180427/0458/080;Поставка топлива АИ-92 и ДТ.;"Акционерное общество ""Государственный научный центр Российской Федерации - Физико-энергетический институт имени А.И. Лейпунского""";460 250,00;27.04.2018;Опубликована;http://www.zakupki.rosatom.ru/1804270458080
180514/0479/414;поставка ленточных пил;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";799 910,51;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140479414
180515/0479/422;Поставка модулей питания РН300А280-48;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";162 164,16;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479422
180514/0479/412;Поставка соединителей РП, СНП346, СНП347;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";1 000 000,00;07.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140479412
180515/0479/421;поставка жалюзи вертикальных тканевых;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";692 070,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479421
180514/0513/689;"Право заключения договора на Поставка оборудования Schneider Electric для создания инженерной инфраструктуры модуля ОЦОД АО ""Концерн Росэнергоатом""";"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";2 133 378,17;04.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140513689
180507/0502/199;Поставка прокладок  ПГФ;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";402 870,88;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805070502199
180514/1051/137;Поставка спирта изопропилового;"Общество с ограниченной ответственностью ""Литейный завод ""Петрозаводскмаш""";160 000,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805141051137
180515/1051/139;Поставка лака ВЛ-557 2%;"Общество с ограниченной ответственностью ""Литейный завод ""Петрозаводскмаш""";336 000,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805151051139
180515/0479/419;поставка реле РЭК и РПС;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";15 590 797,20;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150479419
180515/0539/207;Право заключения договора на Поставка масел, смазки;"Акционерное общество ""Атомспецтранс""";528 833,10;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150539207
180428/0604/156;"Изготовление и поставка ""Сушилка в комплекте с РЦ500""";"Акционерное общество ""Свердловский научно-исследовательский институт химического машиностроения""";7 602 000,14;11.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1804280604156
180514/1065/152;Право заключения договора на на поставку по Лоту № №80059/196 Акк1,2-18 «Поставка теплообменников пластинчатых для сооружения энергоблоков №1, 2 АЭС «Аккую»;"Акционерное общество ""Атомкомплект""";650 448 715,53;14.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805141065152
180507/0503/264;Поставка периодических изданий;"Акционерное общество ""Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""";492 900,63;29.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805070503264
180514/2686/028;Право заключения договора на Поставка батарей аккумуляторных;"Центральный филиал Акционерного общества ""Атомспецтранс""";367 001,93;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805142686028
180514/2442/484;Право заключения договоров на  Поставка твердосплавного инструмента;"Акционерное общество ""Промышленные инновации"".";12 006 840,75;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805142442484
180514/3813/262;Право заключения договора на Поставка комплектующих для вентиляторов;"Волгодонский филиал Акционерного общества ""Инжиниринговая компания ""АЭМ-технологии""";157 002,36;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805143813262
180514/0669/046;"Право заключения договора на Поставка запасных частей для автомобилей   марки Mercedes-Benz АО ""АТА"" г. Москва";"Акционерное общество ""Альянстрансатом""";1 000 000,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140669046
180514/5610/369;Право заключения договора на Поставка метизной продукции;"Акционерное общество ""Федеральный центр науки и высоких технологий ""Специальное научно-производственное объединение ""Элерон""";5 069 133,13;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805145610369
180514/0514/113;Право заключения договора на 907-U020-17/915 Поставка измерителя прецизионного В7-99  (или аналога);"Акционерное общество ""Высокотехнологический научно-исследовательский институт неорганических материалов имени академика А.А. Бочвара""";167 000,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140514113
180514/0536/719;Право заключения договора на поставку бензина и дизельного топлива для нужд АО АСЭ (378Пр/ЗЦ-018);"Акционерное общество Инжиниринговая компания ""АСЭ""";6 089 160,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140536719
180510/0503/262;Поставка листа из стали 20 толщиной 40мм;"Акционерное общество ""Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""";258 502,60;08.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805100503262
